,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,mukesh_akkian,"'ना छेड़ो हमें हम ये मतलबी दुनिया और अपनी किस्मत के सताए हुए हैं, बहुत ज़ख्म सीने पर खाये हुए हैं'

#AkshayKumar #SRT #PandaPromise
#JaiShreeRam","Gurgaon,Haryana",678,4127,95818,3928,#WATCH | CCTV video emerges of jailed Delhi minister Satyendar Jain getting a massage inside Tihar jail. https://t.co/VMi8175Gag,['WATCH']
1,workforbetter,Believe in yourself! No one knows your capabilities better than you! Baba mukt samaj,Union of India,257,146,17547,1785,"What the hell! Delhi Police should handover the case to Team @ABPNews. 

https://t.co/JWDHIoAWTC",[]
2,sumit7545,Male,"Amritsar, India",185,23,856,0,"@ShaliniKTiwari Tihar jail security comes under central govt and Delhi police too comes under Central govt।
Then how come he is able to get the massage services inside the jail?
How come inside video footage leaked?",[]
3,kiratnes,"Social Media Co-incharge @BJP4Bengal ,Political Analyst, Nationalist,RSS  Swaymsevak,RSS Third Year@2017, Ex-ABVP
परं वैभवं नेतुमेतत् स्वराष्ट्रं।।",Jagatdal,367,1274,12535,629,"Arvind Kejriwal has reduced Tihar to a massage parlour. His jailed minister Satyendra Jain would get a masseur, who would, in violation of all jail rules, indulge the inmate, because of his proximity to the Delhi CM. Delhi Govt manages Tihar.

ये भ्रष्टाचारी राजनीति बदलने आए थे। https://t.co/8NgUlqDGFE",[]
4,Pandey_Shivam_1,🇮🇳,"🇮🇳 Basti , Uttar Pradesh",906,702,11171,3928,#WATCH | CCTV video emerges of jailed Delhi minister Satyendar Jain getting a massage inside Tihar jail. https://t.co/VMi8175Gag,['WATCH']
5,Mohamma63234827,student of Aljamiatul Ashrafia,"West Bengal, India",965,665,38100,824,"Delhi Police arrested a human trafficker 4 years after he brutally murdered a minor tribal girl. 
The Tribal minor's body was chopped into six pieces and stuffed into a bag. Her body parts were then scattered in a drain in west delhi. https://t.co/PrZDZh6zih",[]
6,iamonlyabhik,Excited brand management guy.. Passionate developing products for the welfare of young India..,India,379,540,63730,1785,"What the hell! Delhi Police should handover the case to Team @ABPNews. 

https://t.co/JWDHIoAWTC",[]
7,Amolsurwade95,"@amarkale_inc SUPPORTER 
#congress
@incindia","Arvi,Maharashtra ",694,494,53544,9,"Celebrating the 105th birth anniversary of Former PM of India Late Indira Gandhi Ji, Congress President Shri @Kharge and CPP Chairperson Smt. Sonia Gandhi attended a special event titled 'Spirit of Unity', themed around '75 years of independence' in New Delhi. https://t.co/79GKMRa4wF",[]
8,GujaratMeinnAAP,इंसान का इंसान से हो भाईचारा यही पैगाम हमारा यही पैगाम हमारा,,2124,413,21793,112,"BIG STATEMENT BY ARVIND KEJRIWAL

Delhi CM @ArvindKejriwal provides in Writing

'BJP will get less than 20 seats in Delhi MCD' https://t.co/jFuoxviQOA",[]
9,Daaruguy,Have views on everything. RT# Endorsement,India,1044,94,49328,20,"A related myth that AAP uses to its advantage all the time

Yes, Delhi Police is under Central Govt

But to prosecute anyone in court for a crime committed in Delhi, consent of Delhi govt is needed.

So Delhi police cannot really do anything without consent of Delhi CM.",[]
10,KDB301287,,,67,100,397,1408,"Delhi minister &amp; AAP leader Satyendar Jain getting a massage inside Tihar jail.

Tihar Jail is run by the Department of Delhi Prisons under the Government of Delhi. https://t.co/xKjTay434L",[]
11,1986Arora,"i am an indian and proud to be indian, गर्व से कहता हूँ कि मैं भारतीय हूँ    By profession software engineer","New Delhi, India",1478,1199,32708,1408,"Delhi minister &amp; AAP leader Satyendar Jain getting a massage inside Tihar jail.

Tihar Jail is run by the Department of Delhi Prisons under the Government of Delhi. https://t.co/xKjTay434L",[]
12,tejas_gosalia,RT doesn’t mean endorsement,,252,46,12705,71,"#ShraddhaWalkar's ex boss shares with media, how she was beaten in 2020 &amp; police complaint was also filed against #AftabAminPoonawalla

No marriage, independent working woman...What was her compulsion of moving with him to Delhi?

Blind love or just ego to not let go...Sad End",['ShraddhaWalkar']
